number,title,shortDescription,description,points,category,difficulty,validationMode,criteria,minimumPeople,maxAttempts,requireLocation,latitude,longitude,radiusMeters,active
1,Повторите дорожного рабочего,Найдите знак дорожных работ и повторите позу,Найдите треугольный знак дорожных работ. Минимум два участника должны встать рядом и повторить позу рабочего с лопатой. Знак должен быть хорошо виден в кадре.,50,road_signs,easy,ai,На фотографии виден треугольный дорожный знак с изображением рабочего | Видно минимум два участника команды | Участники повторяют позу с лопатой или изображают копание,2,2,false,,,,true
2,Памятник Баху,Повторите позу памятника у Томаскирхе,"Найдите памятник Иоганну Себастьяну Баху у церкви Святого Фомы. Один участник должен максимально точно повторить позу памятника, стоя рядом.",60,monuments,easy,ai,На фотографии виден памятник Баху | Рядом с памятником стоит минимум один участник | Участник повторяет позу памятника,1,2,false,,,,true
3,Вся команда у Старой ратуши,Общая фотография на Рыночной площади,"Сделайте фотографию всей команды на фоне Старой ратуши на Рыночной площади. В кадре должны быть все, кто пришёл на квест.",40,team,easy,ai,На фотографии видно здание Старой ратуши | В кадре находится вся команда,2,3,false,,,,true
4,Оживите рекламный баннер,Найдите баннер и повторите композицию,"Найдите рекламный баннер или плакат с людьми. Повторите композицию и позы с плаката своей командой, встав рядом.",70,advertising,medium,ai,На фотографии виден рекламный баннер или плакат | Участники повторяют композицию с плаката | Плакат и участники находятся в одном кадре,2,2,false,,,,true
5,Что-то идеально круглое,Найдите круглый городской объект,"Найдите объект правильной круглой формы — часы, люк, вывеску, окно-розетку. Сфотографируйте так, чтобы форма была очевидна.",30,object_search,easy,ai,"На фотографии есть объект отчётливо круглой формы | Объект является частью города, а не принесён с собой",0,3,false,,,,true
6,Обмен скрепки,Обменяйте скрепку на что-то большее,Вам выдана канцелярская скрепка. Обменяйте её у прохожих на любой другой предмет. Сфотографируйте результат обмена в руках команды. Обмен строго добровольный.,100,interaction,hard,manual,На фотографии виден полученный предмет | Предмет держит участник команды,1,1,false,,,,true
7,Городской типаж,Фотография с горожанином по его согласию,"Найдите яркого городского персонажа — уличного музыканта, продавца, велокурьера — и сфотографируйтесь с ним. Обязательно спросите разрешение и объясните, зачем нужно фото.",90,interaction,hard,manual,"На фотографии есть человек, не входящий в команду | Рядом находится минимум один участник команды",1,1,false,,,,true
8,Отражение,Снимите город в отражении,"Сделайте фотографию городского вида через отражение — в витрине, луже, зеркале или стекле. Отражение должно быть основным содержанием кадра.",60,creative,medium,ai,Основное содержание кадра — отражение | В отражении узнаётся городская среда,0,3,false,,,,true
9,Буква из города,Соберите первую букву названия команды,"Найдите в городской среде объект, формой напоминающий первую букву названия вашей команды. Это может быть арка, фонарь, конструкция или тень.",50,creative,medium,manual,"На фотографии виден объект, напоминающий букву | Объект является частью городской среды",0,2,false,,,,true
10,Самая старая дата,Найдите высеченную дату на здании,"Найдите на фасаде здания высеченную или написанную дату. Чем старше, тем интереснее. Сфотографируйте так, чтобы цифры читались.",70,object_search,medium,ai,"На фотографии видна дата на здании | Цифры читаются | Дата является частью здания, а не объявления",0,2,false,,,,true
